title,douban_id,douban_url,cover,rating,date,status,status_label,tags,comment,intro,category
呼啸山庄: 插图珍藏版,35703541,https://book.douban.com/subject/35703541/,/covers/books/35703541.jpg,5,"2026-03-27
      读过",collect,读过,,"When you go down, you’ll take me down with you. Love happens when two find themselves belonging to the same camp.",,book
捕云记,37383716,https://book.douban.com/subject/37383716/,/covers/books/37383716.jpg,4,"2026-02-23
      读过",collect,读过,,请一定看到最后,,book
蝲蛄吟唱的地方,34813209,https://book.douban.com/subject/34813209/,/covers/books/34813209.jpg,4,"2026-01-28
      读过",collect,读过,,自然不是正义的，但是坦诚的。在被偏见挤压在人类社会小小角落的时刻，哪怕它带着被赋予”正义”的名字，她需要的也只是小猫本身流露出的那些坦诚。,,book
Intermezzo,36800155,https://book.douban.com/subject/36800155/,/covers/books/36800155.jpg,5,"2025-11-02
      读过",collect,读过,,克服了上部几乎所有局限，她的写作在这部变得异常成熟，她对场景的把控力、对人物的塑造力、对细节的描述力、对生活的感受力，塑造出了最复杂、最透彻、又从读者角度看来最不陌生的5个人。虽然结尾泄气还是有点快，but who am i to judge? could i make better decisions? 或者说，我们真的想看到解法吗？私认为写到这一步没有任何不妥，这仍是我最敬佩她写作的一次。see what happens. go on in any case living.,,book
信仰,37090321,https://book.douban.com/subject/37090321/,/covers/books/37090321.jpg,3,"2025-09-07
      读过",collect,读过,,完成度很低，更像是一本来找灵感的设定集。概念没有特别新，但是注入了一些的女性独特的视点。看过之后觉得这几篇还是从不同的角度围绕一个中心补全：比如退回野人是不是另一种宗教般的信仰、只是从一个规则中跳到另一个规则？“叛逃”是所有篇主人公的共同点，但成功“叛逃”真的帮我们找到乌托邦了吗，还是让我们更加孤独更加困惑，最后不小心落入了“多样性”的美好陷阱？最后还是那个从来都没想清楚的问题，人与人到底如何能够突破隔阂、实现真正的沟通呢？,,book
上海寶貝,1361353,https://book.douban.com/subject/1361353/,/covers/books/1361353.jpg,3,"2025-08-24
      读过",collect,读过,,前半段看得极其兴奋，但愈到结尾愈发觉空洞——如此自恋的宝贝，我们看不到天天，看不到马克，更不必说马当娜与朱砂——两位同样迷人又危险的女人。由始至终书里只有她自己。但她的姿态又放得如此之平，让人觉得生活在她的故事中并没有什么不恰当，并不需要为可能产生的”自己不够格”的想法感到愧疚。我开始庆幸我没有过早地来到这个城市。虽然我可能想永远在这里生活下去。,,book
你的夏天还好吗？,26953294,https://book.douban.com/subject/26953294/,/covers/books/26953294.jpg,4,"2025-08-13
      读过",collect,读过,,姐姐，你知道吗？贫穷好像不是惊天动地一下子就砸下来的灾难，其实贫穷是一种夏季浸在潮湿空气中那种黏腻的感觉。姐姐，我们都有追求幸福的权利，我们都有感受爱的能力，我们都有努力实现自己可笑梦想的心气，有的时候我们也有消费力。但姐姐，贫穷它总是像夏季墙壁缝隙中的虫子一样爬出来，在我搬了新家看到施工队的时候，在我做了指甲穿着高跟鞋爬上山顶打开啤酒罐的时候，在我终于贷款在法语系读完大学却什么也改变不了的时候。姐姐，我确信她会过得很好，我们都会过得很好。但不知什么离我而去，你也看见了吗？,,book
Everything I Know About Love,30381738,https://book.douban.com/subject/30381738/,/covers/books/30381738.jpg,5,"2025-07-27
      读过",collect,读过,,"When being so uncertain and anxious and confused about our twentysomething’s life, all we want is a ‘big sister’ telling us it happens and it’s normal and it’s not your fault. Thank you Dolly Alderton for being her. Means so much to me🫶",,book
小城与不确定性的墙,37016658,https://book.douban.com/subject/37016658/,/covers/books/37016658.jpg,2,"2025-06-02
      读过",collect,读过,,废话连篇，意义不明，只有第一部的结尾稍显动人。,,book
看那些灯光，亲爱的,36514762,https://book.douban.com/subject/36514762/,/covers/books/36514762.jpg,4,"2025-02-15
      读过",collect,读过,,如此轻巧又讽刺的法国味，标题又那么合适恰当,,book
被遗弃的日子,36402171,https://book.douban.com/subject/36402171/,/covers/books/36402171.jpg,5,"2024-12-24
      读过",collect,读过,,“我假装相信他，因此我们会相爱很长时间。”那些那不勒斯出身的女人们，试图遗忘又不经意寻回的童年，在身份的坍塌与重构中觉醒，没有人再有资格指责她们丝毫。,,book
在世界中心呼唤爱,27160601,https://book.douban.com/subject/27160601/,/covers/books/27160601.jpg,2,"2024-11-24
      读过",collect,读过,,爷孙两段爱情没什么实质连接，写的和译的都太表面了。像摘抄集。,,book
村上春树·西班牙,36946658,https://book.douban.com/subject/36946658/,/covers/books/36946658.jpg,1,"2024-11-11
      读过",collect,读过,,,,book
一句顶一万句,36062390,https://book.douban.com/subject/36062390/,/covers/books/36062390.jpg,5,"2024-10-29
      读过",collect,读过,,前半篇自以为通透，谁知后半篇辛辣的短短几句话就给看穿了生活，心里堵，无法旁观嗤笑，反倒有些孤独。“事背后的理拧巴，明明看着不行的事情，大家都要去做，不做倒成了就不对，这就变成了幽默。”,,book
烦人的爱,36104318,https://book.douban.com/subject/36104318/,/covers/books/36104318.jpg,3,"2024-09-22
      读过",collect,读过,,“我那么坚决，想变得与她不同，以至于我失去了一个个像她的理由。”,,book
