title,douban_id,douban_url,cover,rating,date,status,status_label,tags,comment,intro,category
GIRL WITH NOTHING,38378756,https://music.douban.com/subject/38378756/,/covers/music/38378756.jpg,5,2026-06-04,collect,听过,,关注很久的孩子们出techno了，这个时代很珍贵的作曲派偶像组合！务必大力支持🫶,SITUASION / 2026-03-04 / EP,music
<LOVE&POP> pt.1,38447963,https://music.douban.com/subject/38447963/,/covers/music/38447963.jpg,,2026-06-04,collect,听过,,顶着Love&Pop概念大名但在MV里穿着淘宝仙女风的衣服做夏日大放送的show，你自己能说服你自己不？sad girls schemin’听感蛮熟悉的，但想起来主打和mv那风格，立刻显得完全没有可信度了😇回去听goddess了 and喜欢老年韩国日式摇滚我为啥不回去听gfriend，你们到底在碎什么,"tripleS,트리플에스 / 2026-06-01 / 专辑 / CD / 流行",music
all kinds of crayon,26602846,https://music.douban.com/subject/26602846/,/covers/music/26602846.jpg,4,2026-06-02,collect,听过,,,hal / 1997-10-22 / EP / CD / 流行,music
Melancholy Mellow-甘い憂鬱-19982002,30339509,https://music.douban.com/subject/30339509/,/covers/music/30339509.jpg,,2026-06-02,collect,听过,,,キリンジ / 2018-11-07 / 专辑 / CD / 流行,music
Heavy Serenade,38424520,https://music.douban.com/subject/38424520/,/covers/music/38424520.jpg,4,2026-06-02,collect,听过,,先行是神迹降临,"NMIXX,엔믹스 / 2026-05-11 / EP / 数字(Digital) / 流行",music
SS26,38480274,https://music.douban.com/subject/38480274/,/covers/music/38480274.jpg,4,2026-05-28,collect,听过,,really nice but it was so arrogant to ditch those who made you become you then squeezed into another crowd who were obviously not ready to welcome you,Charli xcx / 2026-05-21 / 单曲 / 数字(Digital) / 流行,music
THE RUMORS ARE TRUE,38366847,https://music.douban.com/subject/38366847/,/covers/music/38366847.jpg,4,2026-05-12,collect,听过,,好听 美妙,DC The Don / 2026-02-27 / EP / 数字(Digital) / 说唱,music
Midnight Sun: Girls Trip,38434938,https://music.douban.com/subject/38434938/,/covers/music/38434938.jpg,,2026-05-08,collect,听过,,你记得我之前说我做梦骑电动车带着你，路上有狮子老虎蜕皮蛇啥的，就这种感觉,Zara Larsson / 2026-05-01 / 专辑 / CD / 流行,music
DON'T ASK!,38428619,https://music.douban.com/subject/38428619/,/covers/music/38428619.jpg,4,2026-05-06,collect,听过,,封面是刘柏辛？,Natanya / 2026-04-17 / 单曲 / 数字(Digital),music
"Flow, River of My Soul",1459715,https://music.douban.com/subject/1459715/,/covers/music/1459715.jpg,4,2026-05-05,collect,听过,,比较适合晴天听的trip hop (and more),Single Gun Theory / 1994-09-06 / Audio CD,music
Get Up,36451847,https://music.douban.com/subject/36451847/,/covers/music/36451847.jpg,5,2026-04-30,collect,听过,,Erika de Casier🤍,NewJeans / 2023-7-21 / EP / 数字(Digital) / 流行,music
